product_name,sku,price,stock,photos,column f,column g,name
Abbey Rain autographed Model RP 8×10 Photo RP0001,AbbeyR000116122022RPR,9.99,1.0,https://american-autographs.com/toimages//Abbey_rain_0000_0001.jpg|,,,Abbey Rain
Abby Cross autographed Model RP 8×10 Photo RP4000,AbbyC400016122022RPR,9.99,1.0,https://american-autographs.com/toimages//Abby_Cross_0000_4000.jpg|,,,Abby Cross
Abby Cross autographed Model RP 8×10 Photo RP1000,AbbyC100016122022RPR,9.99,1.0,https://american-autographs.com/toimages//Abby_Cross_0001 _1000.jpg|,,,Abby Cross
Abby Cross autographed Model RP 8×10 Photo RP0023,AbbyC002316122022RPR,9.99,1.0,https://american-autographs.com/toimages//Abby_Cross_0001_0023.jpg|,,,Abby Cross
Abby Cross autographed Model RP 8×10 Photo RP0005,AbbyC000516122022RPR,9.99,1.0,https://american-autographs.com/toimages//Abby_Cross_000_0005.jpg|,,,Abby Cross
Lena Paul autographed Model RP 8×10 Photo RP0056,LenaP005616122022RPR,9.99,1.0,https://american-autographs.com/toimages//Lena_Paul_signed_8x10_0056.jpg|,,,Lena Paul
Lena Paul autographed Model RP 8×10 Photo RP1240,LenaP124016122022RPR,9.99,1.0,https://american-autographs.com/toimages//Lena_Paul_signed_8x10_1240.jpg|,,,Lena Paul
Lena Paul autographed Model RP 8×10 Photo RP0001,LenaP000116122022RPR,9.99,1.0,https://american-autographs.com/toimages//Lena_Paul_signed_8x10_124_0001.jpg|,,,Lena Paul
Lena Paul autographed Model RP 8×10 Photo RP0002,LenaP000216122022RPR,9.99,1.0,https://american-autographs.com/toimages//Lena_Paul_signed_8x10_124_0002.jpg|,,,Lena Paul
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
