product_name,sku,price,Sale_price,photos,video,name,name-link
Aidra Fox signed Playboy model B 8x10 Photo -PROOF- -CERTIFICATE- (A00011),AidraF0001109022023pr,59.95,44.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00011.jpg|Aidra_Fox_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox
Aidra Fox signed Playboy model B 8x10 Photo -PROOF- -CERTIFICATE- (A00013),AidraF0001309022023pr,59.95,44.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00013.jpg|Aidra_Fox_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox
Aidra Fox signed Playboy model B 8x10 Photo -PROOF- -CERTIFICATE- (A00014),AidraF0001409022023pr,59.95,44.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00014.jpg|Aidra_Fox_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox
Aidra Fox signed Playboy model B 8x10 Photo -PROOF- -CERTIFICATE- (A0002),AidraF000209022023pr,59.95,44.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_0002.jpg|Aidra_Fox_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox
Aidra Fox signed Playboy model B 8x10 Photo -PROOF- -CERTIFICATE- (A00030),AidraF0003009022023pr,59.95,44.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00030.jpg|Aidra_Fox_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox
Aidra Fox signed Playboy model B 8x10 Photo -PROOF- -CERTIFICATE- (A00033),AidraF0003309022023pr,59.95,44.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00033.jpg|Aidra_Fox_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox
Aidra Fox signed Playboy model B 8x10 Photo -PROOF- -CERTIFICATE- (A00034),AidraF0003409022023pr,59.95,44.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00034.jpg|Aidra_Fox_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox
Aidra Fox signed Playboy model B 8x10 Photo -PROOF- -CERTIFICATE- (A00036),AidraF0003609022023pr,59.95,44.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00036.jpg|Aidra_Fox_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox
Aidra Fox signed Playboy model B 8x10 Photo -PROOF- -CERTIFICATE- (A00037),AidraF0003709022023pr,59.95,44.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00037.jpg|Aidra_Fox_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox
Aidra Fox signed Playboy model B 8x10 Photo -PROOF- -CERTIFICATE- (A00039),AidraF0003909022023pr,59.95,44.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00039.jpg|Aidra_Fox_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox
Aidra Fox signed Playboy model B 8x10 Photo -PROOF- -CERTIFICATE- (A00040),AidraF0004009022023pr,59.95,44.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00040.jpg|Aidra_Fox_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox
Aidra Fox signed Playboy model B 8x10 Photo -PROOF- -CERTIFICATE- (A00044),AidraF0004409022023pr,59.95,44.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00044.jpg|Aidra_Fox_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox
Aidra Fox signed Playboy model B 8x10 Photo -PROOF- -CERTIFICATE- (A00050),AidraF0005009022023pr,59.95,44.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00050.jpg|Aidra_Fox_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox
Aidra Fox signed Playboy model B 8x10 Photo -PROOF- -CERTIFICATE- (A00051),AidraF0005109022023pr,59.95,44.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00051.jpg|Aidra_Fox_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox
Aidra Fox signed Playboy model B 8x10 Photo -PROOF- -CERTIFICATE- (A00052),AidraF0005209022023pr,59.95,44.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00052.jpg|Aidra_Fox_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox
Aidra Fox signed Playboy model B 8x10 Photo -PROOF- -CERTIFICATE- (A00058),AidraF0005809022023pr,59.95,44.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00058.jpg|Aidra_Fox_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox
Aidra Fox signed Playboy model B 8x10 Photo -PROOF- -CERTIFICATE- (A00059),AidraF0005909022023pr,59.95,44.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00059.jpg|Aidra_Fox_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox
Aidra Fox signed Playboy model B 8x10 Photo -PROOF- -CERTIFICATE- (A0006),AidraF000609022023pr,59.95,44.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_0006.jpg|Aidra_Fox_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox
Aidra Fox signed Playboy model B 8x10 Photo -PROOF- -CERTIFICATE- (A00060),AidraF0006009022023pr,59.95,44.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00060.jpg|Aidra_Fox_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox
